"loss","penalty","alpha","max_iter","learning_rate","early_stopping","warm_start","accuracy"
"hinge","l2",0.0001,50000,"adaptive",True,False,0.7333333333333333
"hinge","l2",0.0001,50000,"adaptive",True,True,0.7494897959183675
"hinge","l2",0.001,100,"constant",False,False,0.5011054421768708
"hinge","l2",0.001,100,"constant",False,True,0.5975340136054422
"hinge","l2",0.001,100,"constant",True,False,0.7456632653061226
"hinge","l2",0.001,100,"constant",True,True,0.7255102040816326
"hinge","l2",0.001,100,"optimal",False,False,0.585969387755102
"hinge","l2",0.001,100,"optimal",False,True,0.5338435374149659
"hinge","l2",0.001,100,"optimal",True,False,0.6518707482993198
"hinge","l2",0.001,100,"optimal",True,True,0.5784863945578231
"hinge","l2",0.001,100,"invscaling",False,False,0.6602891156462586
"hinge","l2",0.001,100,"invscaling",False,True,0.7454931972789116
"hinge","l2",0.001,100,"invscaling",True,False,0.7293367346938776
"hinge","l2",0.001,100,"invscaling",True,True,0.7455782312925169
"hinge","l2",0.001,100,"adaptive",False,False,0.7622448979591837
"hinge","l2",0.001,100,"adaptive",False,True,0.7335034013605444
"hinge","l2",0.001,100,"adaptive",True,False,0.7457482993197279
"hinge","l2",0.001,100,"adaptive",True,True,0.7420918367346939
"hinge","l2",0.001,500,"constant",False,False,0.5744047619047619
"hinge","l2",0.001,500,"constant",False,True,0.7048469387755102
"hinge","l2",0.001,500,"constant",True,False,0.6708333333333333
"hinge","l2",0.001,500,"constant",True,True,0.6643707482993197
"hinge","l2",0.001,500,"optimal",False,False,0.7210034013605442
"hinge","l2",0.001,500,"optimal",False,True,0.7252551020408163
"hinge","l2",0.001,500,"optimal",True,False,0.6378401360544218
"hinge","l2",0.001,500,"optimal",True,True,0.7336734693877551
"hinge","l2",0.001,500,"invscaling",False,False,0.7543367346938774
"hinge","l2",0.001,500,"invscaling",False,True,0.7376700680272108
"hinge","l2",0.001,500,"invscaling",True,False,0.7495748299319729
"hinge","l2",0.001,500,"invscaling",True,True,0.7458333333333333
"hinge","l2",0.001,500,"adaptive",False,False,0.758078231292517
"hinge","l2",0.001,500,"adaptive",False,True,0.7458333333333333
"hinge","l2",0.001,500,"adaptive",True,False,0.7218537414965986
"hinge","l2",0.001,500,"adaptive",True,True,0.7668367346938776
"hinge","l2",0.001,1000,"constant",False,False,0.578656462585034
"hinge","l2",0.001,1000,"constant",False,True,0.7380952380952381
"hinge","l2",0.001,1000,"constant",True,False,0.7297619047619047
"hinge","l2",0.001,1000,"constant",True,True,0.7501700680272109
"hinge","l2",0.001,1000,"optimal",False,False,0.6354591836734694
"hinge","l2",0.001,1000,"optimal",False,True,0.6501700680272109
"hinge","l2",0.001,1000,"optimal",True,False,0.6750850340136054
"hinge","l2",0.001,1000,"optimal",True,True,0.7339285714285715
"hinge","l2",0.001,1000,"invscaling",False,False,0.7535714285714286
"hinge","l2",0.001,1000,"invscaling",False,True,0.7464285714285714
"hinge","l2",0.001,1000,"invscaling",True,False,0.6380952380952382
"hinge","l2",0.001,1000,"invscaling",True,True,0.6583333333333333
"hinge","l2",0.001,1000,"adaptive",False,False,0.7664115646258504
"hinge","l2",0.001,1000,"adaptive",False,True,0.7460884353741496
"hinge","l2",0.001,1000,"adaptive",True,False,0.7539965986394558
"hinge","l2",0.001,1000,"adaptive",True,True,0.7458333333333333
"hinge","l2",0.001,5000,"constant",False,False,0.4562074829931973
"hinge","l2",0.001,5000,"constant",False,True,0.594812925170068
"hinge","l2",0.001,5000,"constant",True,False,0.6680272108843537
"hinge","l2",0.001,5000,"constant",True,True,0.676360544217687
"hinge","l2",0.001,5000,"optimal",False,False,0.6581632653061223
"hinge","l2",0.001,5000,"optimal",False,True,0.6477891156462585
"hinge","l2",0.001,5000,"optimal",True,False,0.7583333333333333
"hinge","l2",0.001,5000,"optimal",True,True,0.7495748299319728
"hinge","l2",0.001,5000,"invscaling",False,False,0.754421768707483
"hinge","l2",0.001,5000,"invscaling",False,True,0.7375
"hinge","l2",0.001,5000,"invscaling",True,False,0.7582482993197279
"hinge","l2",0.001,5000,"invscaling",True,True,0.7539965986394557
